Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Ryzen Threadripper 3990X,Matisse,64  / 128,2.9 to 4.3 GHz,Socket TR4,7 nm,128MB,280 W,"Feb 7th, 2020"
A6-9120C SoC,Stoney Ridge,2,1.6 to 2.4 GHz,Socket FT4,28 nm,N/A,6 W,"Jan 7th, 2019"
A6-9220C SoC,Stoney Ridge,2,1.8 to 2.7 GHz,Socket FT4,28 nm,N/A,6 W,"Jan 7th, 2019"
Athlon 3000G,Zen,02-Apr,3.5 GHz,Socket AM4,14 nm,4MB,35 W,"Nov 21st, 2019"
Athlon 300U,Raven Ridge 2,02-Apr,2.4 to 3.3 GHz,Socket FP5,14 nm,4MB,15 W,"Jan 6th, 2019"
Athlon PRO 300U,Raven Ridge 2,02-Apr,2.4 to 3.3 GHz,Socket FP5,14 nm,4MB,15 W,"Apr 8th, 2019"
EPYC 7232P,Rome,Aug-16,3.1 to 3.2 GHz,Socket TR4,7 nm,32MB,120 W,"Aug 7th, 2019"
EPYC 7252,Rome,Aug-16,2.8 to 3.2 GHz,Socket TR4,7 nm,64MB,120 W,"Aug 7th, 2019"
EPYC 7262,Rome,Aug-16,3.1 to 3.3 GHz,Socket TR4,7 nm,128MB,155 W,"Aug 7th, 2019"
EPYC 7272,Rome,Dec-24,2.6 to 3.2 GHz,Socket TR4,7 nm,64MB,120 W,"Aug 7th, 2019"
EPYC 7282,Rome,16  / 32,2.8 to 3.2 GHz,Socket TR4,7 nm,64MB,120 W,"Aug 7th, 2019"
EPYC 7302,Rome,16  / 32,3 to 3.3 GHz,Socket TR4,7 nm,128MB,155 W,"Aug 7th, 2019"
EPYC 7302P,Rome,16  / 32,3 to 3.3 GHz,Socket TR4,7 nm,128MB,155 W,"Aug 7th, 2019"
EPYC 7352,Rome,24  / 48,2.4 to 3.3 GHz,Socket TR4,7 nm,128MB,155 W,"Aug 7th, 2019"
EPYC 7402,Rome,24  / 48,2.8 to 3.35 GHz,Socket TR4,7 nm,128MB,180 W,"Aug 7th, 2019"
EPYC 7402P,Rome,24  / 48,2.8 to 3.35 GHz,Socket TR4,7 nm,128MB,180 W,"Aug 7th, 2019"
EPYC 7452,Rome,32  / 64,2.2 to 3.35 GHz,Socket TR4,7 nm,128MB,155 W,"Aug 7th, 2019"
EPYC 7502,Rome,32  / 64,2.5 to 3.35 GHz,Socket TR4,7 nm,128MB,180 W,"Aug 7th, 2019"
EPYC 7502P,Rome,32  / 64,2.5 to 3.35 GHz,Socket TR4,7 nm,128MB,180 W,"Aug 7th, 2019"
EPYC 7542,Rome,32  / 64,2.9 to 3.4 GHz,Socket TR4,7 nm,128MB,225 W,"Aug 7th, 2019"
EPYC 7552,Rome,48  / 96,2.2 to 3.35 GHz,Socket TR4,7 nm,192MB,200 W,"Aug 7th, 2019"
EPYC 7642,Rome,48  / 96,2.4 to 3.4 GHz,Socket TR4,7 nm,256MB,225 W,"Aug 7th, 2019"
EPYC 7702,Rome,64  / 128,2 to 3.35 GHz,Socket TR4,7 nm,256MB,200 W,"Aug 7th, 2019"
EPYC 7702P,Rome,64  / 128,2 to 3.35 GHz,Socket TR4,7 nm,256MB,200 W,"Aug 7th, 2019"
EPYC 7742,Rome,64  / 128,2.25 to 3.4 GHz,Socket TR4,7 nm,256MB,225 W,"Aug 7th, 2019"
EPYC 7H12,Rome,64  / 128,2.6 to 3.3 GHz,Socket TR4,7 nm,256MB,280 W,"Sep 18th, 2019"
Ryzen 3 3200G,Picasso,4,3.6 to 4 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 7th, 2019"
Ryzen 3 3200U,Picasso,02-Apr,2.6 to 3.5 GHz,Socket FP5,12 nm,4MB,15 W,"Jan 6th, 2019"
Ryzen 3 3300U,Picasso,4,2.1 to 3.5 GHz,Socket FP5,12 nm,4MB,15 W,"Jan 6th, 2019"
Ryzen 3 PRO 3300U,Picasso,4,2.1 to 3.5 GHz,Socket FP5,12 nm,4MB,15 W,"Apr 8th, 2019"
Ryzen 5 3400G,Picasso,04-Aug,3.7 to 4.2 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 7th, 2019"
