Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Core i3-10100,Comet Lake,4  / 8,3.6 to 4.4 GHz,Socket 1200,14 nm,6MB,65 W,"Mar 1st, 2020"
Core i3-10300,Comet Lake,4  / 8,3.7 to 4.4 GHz,Socket 1200,14 nm,8MB,62 W,"Mar 1st, 2020"
Core i3-10320,Comet Lake,4  / 8,3.8 to 4.6 GHz,Socket 1200,14 nm,8MB,91 W,"Mar 1st, 2020"
Core i3-10350K,Comet Lake,4  / 8,4.1 to 4.8 GHz,Socket 1200,14 nm,8MB,91 W,"Mar 1st, 2020"
Core i5-10400,Comet Lake,6  / 12,2.9 to 4 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 1st, 2020"
Core i5-10400F,Comet Lake,6  / 12,2.9 to 4.3 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 1st, 2020"
Core i5-10500,Comet Lake,6  / 12,3.1 to 4.6 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 1st, 2020"
Core i5-10600,Comet Lake,6  / 12,3.3 to 4.3 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 1st, 2020"
Core i5-10600K,Comet Lake,6  / 12,4.1 to 4.3 GHz,Socket 1200,14 nm,12MB,95 W,"Mar 1st, 2020"
Core i5-10600KF,Comet Lake,6  / 12,4.1 to 4.8 GHz,Socket 1200,14 nm,12MB,95 W,"Mar 1st, 2020"
Core i7-10700,Comet Lake,8  / 16,2.9 to 5 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 1st, 2020"
Core i7-10700F,Comet Lake,8  / 16,2.9 to 4.7 GHz,Socket 1200,14 nm,16MB,125 W,2020
Core i7-10700K,Comet Lake,8  / 16,3.8 to 5.1 GHz,Socket 1200,14 nm,16MB,125 W,2020
Core i7-10700KF,Comet Lake,8  / 16,3.8 to 5.1 GHz,Socket 1200,14 nm,16MB,125 W,2020
Core i9-10800F,Comet Lake,10  / 20,2.7 to 5 GHz,Socket 1200,14 nm,20MB,65 W,"Mar 1st, 2020"
Core i9-10875H,Comet Lake-H,8  / 16,2.1 to 5.1 GHz,BGA1440,14 nm,12MB,45 W,Unknown
Core i9-10900,Comet Lake,10  / 20,2.8 to 5.2 GHz,Socket 1200,14 nm,20MB,65 W,"Mar 1st, 2020"
Core i9-10900F,Comet Lake,10  / 20,2.8 to 5.2 GHz,Socket 1200,14 nm,20MB,95 W,"Mar 1st, 2020"
Core i9-10900K,Comet Lake,10  / 20,3.7 to 5.3 GHz,Socket 1200,14 nm,20MB,125 W,"Mar 1st, 2020"
Core i9-10900KF,Comet Lake,10  / 20,3.7 to 5.3 GHz,Socket 1200,14 nm,20MB,105 W,"Mar 1st, 2020"
Core i9-10980HK,Comet Lake-H,8  / 16,2.4 to 5.3 GHz,BGA1440,14 nm,12MB,45 W,Unknown
Core i9-10990XE,Cascade Lake-X,22  / 44,3 to 4 GHz,Socket 2066,14 nm,30.25MB,380 W,"Mar 19th, 2020"
Core i3-1000G1,Ice Lake-Y,2  / 4,1.1 to 3.2 GHz,BGA1440,10 nm,4MB,12 W,"Aug 1st, 2019"
Core i3-1000G4,Ice Lake-Y,2  / 4,1.1 to 3.2 GHz,BGA1440,10 nm,4MB,12 W,"Aug 1st, 2019"
Core i3-1005G1,Ice Lake-U,2  / 4,1.2 to 3.4 GHz,BGA1440,10 nm,4MB,25 W,"Aug 1st, 2019"
Core i3-10110U,Comet Lake-U,2  / 4,2.1 to 4.1 GHz,BGA1440,14 nm,4MB,25 W,"Aug 21st, 2019"
Core i3-10110Y,Comet Lake-Y,2  / 4,1 to 4 GHz,BGA1440,14 nm,4MB,9 W,"Aug 21st, 2019"
Core i3-9100F,Coffee Lake,4 ,3.6 to 4.2 GHz,Socket 1151,14 nm,6MB,65 W,"Apr 23rd, 2019"
